,ndays,justvalue,累计买入金额,累计卖出金额,股票剩余资产,开始日期,结束日期,IRR
91,1140,0.07000000000000002,148700.0,72400.0,171488.98,20150710,20191101,0.4618024778876073
92,1140,0.06000000000000002,162100.0,65400.0,203411.95,20150710,20191101,0.455294057701372
93,1140,0.05000000000000002,176500.0,59100.0,235873.42,20150710,20191101,0.45047311216670494
94,1140,0.040000000000000015,191500.0,53600.0,267976.91,20150710,20191101,0.44643670524613377
95,1140,0.030000000000000013,207000.0,48700.0,299899.88,20150710,20191101,0.4429669915119838
96,1140,0.02000000000000001,223100.0,44300.0,332006.4,20150710,20191101,0.4403074249303085
97,1140,0.01000000000000001,239900.0,40400.0,364420.75,20150710,20191101,0.4377034366408017
98,1140,1.0408340855860843e-17,256800.0,36700.0,396657.62,20150710,20191101,0.43546489221995
99,1130,0.1,108100.0,95200.0,72360.51,20150710,20191101,0.5105526822601014
100,1130,0.09000000000000001,121000.0,87700.0,104283.48,20150710,20191101,0.49099065827351573
101,1130,0.08000000000000002,134100.0,80200.0,136567.48,20150710,20191101,0.4780664679207458
102,1130,0.07000000000000002,147200.0,72900.0,168493.49,20150710,20191101,0.46850409792189573
103,1130,0.06000000000000002,160700.0,66000.0,200416.46,20150710,20191101,0.46103133627179993
104,1130,0.05000000000000002,175100.0,59700.0,232877.93,20150710,20191101,0.45548329928004616
105,1130,0.040000000000000015,190100.0,54200.0,264981.42,20150710,20191101,0.4508810006820685
106,1130,0.030000000000000013,205500.0,49200.0,296904.39,20150710,20191101,0.4469565281067345
107,1130,0.02000000000000001,221500.0,44700.0,329010.92,20150710,20191101,0.44392958431587193
108,1130,0.01000000000000001,238300.0,40900.0,361291.87,20150710,20191101,0.44123369771456034
109,1130,1.0408340855860843e-17,255200.0,37200.0,393528.74,20150710,20191101,0.4387121718700593
110,1120,0.1,107300.0,96400.0,69685.41,20150710,20191101,0.5205957995575661
111,1120,0.09000000000000001,120100.0,88800.0,101608.39,20150710,20191101,0.49855945625998377
112,1120,0.08000000000000002,133200.0,81300.0,133892.39,20150710,20191101,0.48410564966470115
113,1120,0.07000000000000002,146300.0,74000.0,165818.4,20150710,20191101,0.4735130822764555
114,1120,0.06000000000000002,159900.0,67200.0,197741.37,20150710,20191101,0.4652957471563468
115,1120,0.05000000000000002,174200.0,60800.0,230202.84,20150710,20191101,0.4591909517981385
116,1120,0.040000000000000015,189200.0,55300.0,262306.33,20150710,20191101,0.4541584109264418
117,1120,0.030000000000000013,204600.0,50300.0,294229.3,20150710,20191101,0.44989018807404246
118,1120,0.02000000000000001,220500.0,45700.0,326335.82,20150710,20191101,0.44658671590014354
119,1120,0.01000000000000001,237200.0,41800.0,358616.78,20150710,20191101,0.44365809724782324
120,1120,1.0408340855860843e-17,254000.0,38100.0,390720.26,20150710,20191101,0.44114888972275335
121,1110,0.1,106500.0,97400.0,67171.26,20150710,20191101,0.5323921281580102
122,1110,0.09000000000000001,119200.0,89700.0,99094.23,20150710,20191101,0.5073288727037939
123,1110,0.08000000000000002,132300.0,82200.0,131378.23,20150710,20191101,0.49103868624302827
124,1110,0.07000000000000002,145400.0,74900.0,163304.24,20150710,20191101,0.47922600856358244
125,1110,0.06000000000000002,158900.0,68000.0,195227.21,20150710,20191101,0.4701356325637063
126,1110,0.05000000000000002,173200.0,61600.0,227688.69,20150710,20191101,0.46338277927855387
127,1110,0.040000000000000015,187900.0,55800.0,259792.17,20150710,20191101,0.45785252102090723
128,1110,0.030000000000000013,203300.0,50800.0,291715.14,20150710,20191101,0.4531886688208253
129,1110,0.02000000000000001,219000.0,46000.0,323821.67,20150710,20191101,0.44956816782111275
130,1110,0.01000000000000001,235600.0,42000.0,356102.63,20150710,20191101,0.4463736190881029
131,1110,1.0408340855860843e-17,252400.0,38300.0,388206.11,20150710,20191101,0.4436424491468971
132,1100,0.1,105500.0,98302.95,64474.65,20150710,20191101,0.5429980858648653
133,1100,0.09000000000000001,118200.0,90900.0,95976.32,20150710,20191101,0.5168635325410342
134,1100,0.08000000000000002,131200.0,83300.0,128260.32,20150710,20191101,0.4984607003321928
135,1100,0.07000000000000002,144300.0,76000.0,160186.33,20150710,20191101,0.4852722838225354
136,1100,0.06000000000000002,157600.0,68900.0,192109.3,20150710,20191101,0.4752124477352071
137,1100,0.05000000000000002,171900.0,62500.0,224570.77,20150710,20191101,0.46774901726367446
138,1100,0.040000000000000015,186400.0,56500.0,256674.26,20150710,20191101,0.4616784190969003
139,1100,0.030000000000000013,201800.0,51500.0,288597.23,20150710,20191101,0.4565884463130221
140,1100,0.02000000000000001,217400.0,46600.0,320703.76,20150710,20191101,0.45262906099552414
141,1100,0.01000000000000001,233900.0,42500.0,352984.72,20150710,20191101,0.4491518968961383
142,1100,1.0408340855860843e-17,250600.0,38700.0,385088.2,20150710,20191101,0.4461860669725759
143,1090,0.1,104300.0,98636.3,62192.04,20150710,20191101,0.5482258859768052
144,1090,0.09000000000000001,117000.0,92300.0,92220.82,20150710,20191101,0.5277643030881629
145,1090,0.08000000000000002,129900.0,84600.0,124504.82,20150710,20191101,0.5067931008258197
146,1090,0.07000000000000002,143000.0,77300.0,156430.83,20150710,20191101,0.4919706282878522
147,1090,0.06000000000000002,156300.0,70200.0,188353.8,20150710,20191101,0.48077926571625795
148,1090,0.05000000000000002,170400.0,63600.0,220815.27,20150710,20191101,0.4724982486242757
149,1090,0.040000000000000015,184900.0,57600.0,252918.76,20150710,20191101,0.4658127055111594
150,1090,0.030000000000000013,200100.0,52400.0,284841.73,20150710,20191101,0.46024218177345144
151,1090,0.02000000000000001,215700.0,47500.0,316948.25,20150710,20191101,0.45590379981943485
152,1090,0.01000000000000001,231900.0,43100.0,349229.21,20150710,20191101,0.45211262597439905
153,1090,1.0408340855860843e-17,248600.0,39300.0,381332.7,20150710,20191101,0.4488876029597799
154,1080,0.1,104000.0,99197.56,61044.35,20150710,20191101,0.5510739167835066
155,1080,0.09000000000000001,116500.0,93304.5,90184.49,20150710,20191101,0.534711828612422
156,1080,0.08000000000000002,129400.0,86000.0,121909.9,20150710,20191101,0.5142143221202655
157,1080,0.07000000000000002,142200.0,78400.0,153835.91,20150710,20191101,0.49792432557362876
158,1080,0.06000000000000002,155600.0,71400.0,185758.88,20150710,20191101,0.48572333304408577
159,1080,0.05000000000000002,169600.0,64700.0,218220.35,20150710,20191101,0.4767144364895781
160,1080,0.040000000000000015,184100.0,58700.0,250323.84,20150710,20191101,0.4694831666173904
161,1080,0.030000000000000013,199100.0,53300.0,282246.81,20150710,20191101,0.4634871156431464
162,1080,0.02000000000000001,214800.0,48500.0,314353.34,20150710,20191101,0.4588129061393831
163,1080,0.01000000000000001,230900.0,44000.0,346634.3,20150710,20191101,0.4547438026011097
164,1080,1.0408340855860843e-17,247500.0,40100.0,378737.78,20150710,20191101,0.45128940432437314
165,1070,0.1,103300.0,99766.78,59334.59,20150710,20191101,0.5535502965011485
166,1070,0.09000000000000001,115800.0,93842.41,88474.73,20150710,20191101,0.536276891127363
167,1070,0.08000000000000002,128600.0,87500.0,118737.2,20150710,20191101,0.5215060456953635
168,1070,0.07000000000000002,141300.0,79800.0,150663.21,20150710,20191101,0.5036827909060237
169,1070,0.06000000000000002,154600.0,72700.0,182586.18,20150710,20191101,0.49044710547436754
170,1070,0.05000000000000002,168500.0,65900.0,215047.65,20150710,20191101,0.4807043153195245
